gene_ID	protein_ID
gene_1	1978561
gene_2	1978562
gene_3	1978563
gene_4	1978564
gene_5	1978565
gene_6	1978566
gene_7	1978567
gene_8	1978568
gene_9	1978569
gene_10	1978570
gene_11	1978571
gene_12	1978572
gene_13	1978573
gene_14	1978574
gene_15	1978575
gene_16	1978576
gene_17	1978577
gene_18	1978578
gene_19	1978579
gene_20	1978580
gene_21	1978581
gene_22	1978582
gene_23	1978583
gene_24	1978584
gene_25	1978585
gene_26	1978586
gene_27	1978587
gene_28	1978588
gene_29	1978589
gene_30	1978590
gene_31	1978591
gene_32	1978592
gene_33	1978593
gene_34	1978594
gene_35	1978595
gene_36	1978596
gene_37	1978597
gene_38	1978598
gene_39	1978599
gene_40	1978600
gene_41	1978601
gene_42	1978602
gene_43	1978603
gene_44	1978604
gene_45	1978605
gene_46	1978606
gene_47	1978607
gene_48	1978608
gene_49	1978609
gene_50	1978610
gene_51	1978611
gene_52	1978612
gene_53	1978613
gene_54	1978614
gene_55	1978615
gene_56	1978616
gene_57	1978617
gene_58	1978618
gene_59	1978619
gene_60	1978620
gene_61	1978621
gene_62	1978622
gene_63	1978623
gene_64	1978624
gene_65	1978625
gene_66	1978626
gene_67	1978627
gene_68	1978628
gene_69	1978629
gene_70	1978630
gene_71	1978631
gene_72	1978632
gene_73	1978633
gene_74	1978634
gene_75	1978635
gene_76	1978636
gene_77	1978637
gene_78	1978638
gene_79	1978639
gene_80	1978640
gene_81	1978641
gene_82	1978642
gene_83	1978643
gene_84	1978644
gene_85	1978645
gene_86	1978646
gene_87	1978647
gene_88	1978648
gene_89	1978649
gene_90	1978650
gene_91	1978651
gene_92	1978652
gene_93	1978653
gene_94	1978654
gene_95	1978655
gene_96	1978656
gene_97	1978657
gene_98	1978658
gene_99	1978659
gene_100	1978660
gene_101	1978661
gene_102	1978662
gene_103	1978663
gene_104	1978664
gene_105	1978665
gene_106	1978666
gene_107	1978667
gene_108	1978668
gene_109	1978669
gene_110	1978670
gene_111	1978671
gene_112	1978672
gene_113	1978673
gene_114	1978674
gene_115	1978675
gene_116	1978676
gene_117	1978677
gene_118	1978678
gene_119	1978679
gene_120	1978680
gene_121	1978681
gene_122	1978682
gene_123	1978683
gene_124	1978684
gene_125	1978685
gene_126	1978686
gene_127	1978687
gene_128	1978688
gene_129	1978689
gene_130	1978690
gene_131	1978691
gene_132	1978692
gene_133	1978693
gene_134	1978694
gene_135	1978695
gene_136	1978696
gene_137	1978697
gene_138	1978698
gene_139	1978699
gene_140	1978700
gene_141	1978701
gene_142	1978702
gene_143	1978703
gene_144	1978704
gene_145	1978705
gene_146	1978706
gene_147	1978707
gene_148	1978708
gene_149	1978709
gene_150	1978710
gene_151	1978711
gene_152	1978712
gene_153	1978713
gene_154	1978714
gene_155	1978715
gene_156	1978716
gene_157	1978717
gene_158	1978718
gene_159	1978719
gene_160	1978720
gene_161	1978721
gene_162	1978722
gene_163	1978723
gene_164	1978724
gene_165	1978725
gene_166	1978726
gene_167	1978727
gene_168	1978728
gene_169	1978729
gene_170	1978730
gene_171	1978731
gene_172	1978732
gene_173	1978733
gene_174	1978734
gene_175	1978735
gene_176	1978736
gene_177	1978737
gene_178	1978738
gene_179	1978739
gene_180	1978740
gene_181	1978741
gene_182	1978742
gene_183	1978743
gene_184	1978744
gene_185	1978745
gene_186	1978746
gene_187	1978747
gene_188	1978748
gene_189	1978749
gene_190	1978750
gene_191	1978751
gene_192	1978752
gene_193	1978753
gene_194	1978754
gene_195	1978755
gene_196	1978756
gene_197	1978757
gene_198	1978758
gene_199	1978759
gene_200	1978760
gene_201	1978761
gene_202	1978762
gene_203	1978763
gene_204	1978764
gene_205	1978765
gene_206	1978766
gene_207	1978767
gene_208	1978768
gene_209	1978769
gene_210	1978770
gene_211	1978771
gene_212	1978772
gene_213	1978773
gene_214	1978774
gene_215	1978775
gene_216	1978776
gene_217	1978777
gene_218	1978778
gene_219	1978779
gene_220	1978780
gene_221	1978781
gene_222	1978782
gene_223	1978783
gene_224	1978784
gene_225	1978785
gene_226	1978786
gene_227	1978787
gene_228	1978788
gene_229	1978789
gene_230	1978790
gene_231	1978791
gene_232	1978792
gene_233	1978793
gene_234	1978794
gene_235	1978795
gene_236	1978796
gene_237	1978797
gene_238	1978798
gene_239	1978799
gene_240	1978800
gene_241	1978801
gene_242	1978802
gene_243	1978803
gene_244	1978804
gene_245	1978805
gene_246	1978806
gene_247	1978807
gene_248	1978808
gene_249	1978809
gene_250	1978810
gene_251	1978811
gene_252	1978812
gene_253	1978813
gene_254	1978814
gene_255	1978815
gene_256	1978816
gene_257	1978817
gene_258	1978818
gene_259	1978819
gene_260	1978820
gene_261	1978821
gene_262	1978822
gene_263	1978823
gene_264	1978824
gene_265	1978825
gene_266	1978826
gene_267	1978827
gene_268	1978828
gene_269	1978829
gene_270	1978830
gene_271	1978831
gene_272	1978832
gene_273	1978833
gene_274	1978834
gene_275	1978835
gene_276	1978836
gene_277	1978837
gene_278	1978838
gene_279	1978839
gene_280	1978840
gene_281	1978841
gene_282	1978842
gene_283	1978843
gene_284	1978844
gene_285	1978845
gene_286	1978846
gene_287	1978847
gene_288	1978848
gene_289	1978849
gene_290	1978850
gene_291	1978851
gene_292	1978852
gene_293	1978853
gene_294	1978854
gene_295	1978855
gene_296	1978856
gene_297	1978857
gene_298	1978858
gene_299	1978859
gene_300	1978860
gene_301	1978861
gene_302	1978862
gene_303	1978863
gene_304	1978864
gene_305	1978865
gene_306	1978866
gene_307	1978867
gene_308	1978868
gene_309	1978869
gene_310	1978870
gene_311	1978871
gene_312	1978872
gene_313	1978873
gene_314	1978874
gene_315	1978875
gene_316	1978876
gene_317	1978877
gene_318	1978878
gene_319	1978879
gene_320	1978880
gene_321	1978881
gene_322	1978882
gene_323	1978883
gene_324	1978884
gene_325	1978885
gene_326	1978886
gene_327	1978887
gene_328	1978888
gene_329	1978889
