;;;Gene;;;Inter-;Cumulative;;Number;Sum Intron;Protein;;Closest Organism (excl. Ophios&Sporothrix);Closest Organism (excl. O.novo-ulmi only);KEGG;;Blast2GO;;;;;MEROPS;;Alter.;;
Protein;Chr;Strand;Start;End;Size (nt);genic;Start;End;Introns;Size (nt);Size (aa);Final Description;(1st BLASTp hit - if blank, see next column);(1st BLASTp hit - blank are real orphans!);KO#;Name;Annotation;#GO Terms;GO Terms;Enzyme Code;CAZy;family;SignalP;Splice;SMURF;Notes
OphioH327gp0002.1;I;-;43.034;44.999;1.966;;43.034;44.999;4;235;576;C6 zinc finger fungal transcription factor;Exophiala aquamarina;Exophiala aquamarina;;;;9;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; P:transcription, DNA-dependent; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:DNA binding; F:metal ion binding";;;;N;;;
OphioH327gp0003;I;+;45.408;46.946;1.539;408;45.408;46.946;0;0;512;Glutamyl-tRNA(Gln) amidotransferase subunit A;Talaromyces marneffei;Talaromyces marneffei;K01426;"E3.5.1.4, amiE; amidase [EC:3.5.1.4]";glutamyl-trna amidotransferase subunit a;1;F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor;EC:6.3.5.0;;;N;;;
OphioH327gp0003.1;I;-;47.942;50.354;2.413;995;47.942;50.354;4;238;724;C6 zinc finger fungal transcription factor;Eutypa lata;Ophiostoma piceae;K09248;"PUT3; proline utilization trans-activator";;9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";;;;N;;;
OphioH327gp0004;I;-;50.768;52.511;1.744;413;50.768;52.511;4;220;507;Uncharacterized transporter C1039.04;Nectria haematococca;Ophiostoma piceae;;;pantothenate transporter liz1;2;"P:transmembrane transport; C:integral to membrane";-;;;N;;;
OphioH327gp0005;I;+;53.258;54.753;1.496;746;53.258;54.753;2;179;438;L-saccharopine oxidase;Colletotrichum gloeosporioides;Ophiostoma piceae;K00306;"PIPOX; sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]";fructosyl amino acid;2;"P:oxidation-reduction process; F:oxidoreductase activity";;;;N;;;
OphioH327gp0006;I;+;56.977;58.501;1.525;2.223;56.977;58.501;1;61;487;N amino acid transport system protein (Methyltryptophan resistance protein);Grosmannia clavigera;Ophiostoma piceae;;;amino acid transporter;1;C:integral to membrane;-;;;N;;;
OphioH327gp0006.1;I;-;58.703;60.412;1.710;201;58.703;60.412;0;0;569;Hexokinase;Grosmannia clavigera;Ophiostoma piceae;K00844;"HK; hexokinase [EC:2.7.1.1]";;8;"F:kinase activity; F:ATP binding; P:phosphorylation; F:transferase activity; P:carbohydrate metabolic process; F:nucleotide binding; F:phosphotransferase activity, alcohol group as acceptor; P:glycolysis";;;;N;;;
OphioH327gp0006.2;I;+;61.487;63.500;2.014;1.074;61.487;63.500;2;112;633;C6 zinc finger fungal transcription factor;Grosmannia clavigera;Ophiostoma piceae;;;;6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";;;;N;;;
OphioH327gp0007;I;-;63.574;64.697;1.124;73;63.574;64.697;2;128;331;Glucosamine-6-phosphate deaminase/isomerase;Grosmannia clavigera;Ophiostoma piceae;K02564;"nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]";glucosamine-6-phosphate isomerase;4;"P:carbohydrate metabolic process; P:N-acetylglucosamine metabolic process; F:hydrolase activity; F:glucosamine-6-phosphate deaminase activity";EC:3.5.99.6;;;N;;;
OphioH327gp0008;I;-;65.474;67.209;1.736;776;65.474;67.209;3;179;518;Choline transporter;Grosmannia clavigera;Ophiostoma piceae;;;choline transporter;4;"P:cellular nitrogen compound biosynthetic process; C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport";-;;;N;;;
OphioH327gp0009;I;+;68.430;70.198;1.769;1.220;68.430;70.198;2;119;549;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_1808;0;-;;;;Y;;;
OphioH327gp0010;I;-;70.917;72.295;1.379;718;70.917;72.295;1;59;439;Putative uncharacterized protein;Capronia epimyces;Capronia epimyces;;;duf1479 domain protein;0;-;;;;N;;;
