#proteinId;gotermId;goName;gotermType;goAcc
1978561;2196;transcription factor activity;molecular_function;GO:0003700
1978561;3838;nucleus;cellular_component;GO:0005634
1978561;4504;regulation of transcription, DNA-dependent;biological_process;GO:0006355
1978561;5939;zinc ion binding;molecular_function;GO:0008270
1978561;2176;DNA binding;molecular_function;GO:0003677
1978561;4499;transcription;biological_process;GO:0006350
1978562;10079;carbon-nitrogen ligase activity, with glutamine as amido-N-donor;molecular_function;GO:0016884
1978562;2483;amidase activity;molecular_function;GO:0004040
1978563;2196;transcription factor activity;molecular_function;GO:0003700
1978563;3838;nucleus;cellular_component;GO:0005634
1978563;4504;regulation of transcription, DNA-dependent;biological_process;GO:0006355
1978563;5939;zinc ion binding;molecular_function;GO:0008270
1978563;2176;DNA binding;molecular_function;GO:0003677
1978563;4499;transcription;biological_process;GO:0006350
1978565;9710;oxidoreductase activity;molecular_function;GO:0016491
1978567;2796;hexokinase activity;molecular_function;GO:0004396
1978567;3736;ATP binding;molecular_function;GO:0005524
1978567;4261;glycolysis;biological_process;GO:0006096
1978568;2196;transcription factor activity;molecular_function;GO:0003700
1978568;3838;nucleus;cellular_component;GO:0005634
1978568;4504;regulation of transcription, DNA-dependent;biological_process;GO:0006355
1978568;5939;zinc ion binding;molecular_function;GO:0008270
1978569;2748;glucosamine-6-phosphate deaminase activity;molecular_function;GO:0004342
1978569;4212;N-acetylglucosamine metabolic process;biological_process;GO:0006044
1978569;4143;carbohydrate metabolic process;biological_process;GO:0005975
1978570;4977;amino acid transport;biological_process;GO:0006865
1978570;8535;amino acid transmembrane transporter activity;molecular_function;GO:0015171
1978570;9320;membrane;cellular_component;GO:0016020
1978573;3642;sugar:hydrogen symporter activity;molecular_function;GO:0005351
1978573;6276;carbohydrate transport;biological_process;GO:0008643
1978573;9320;membrane;cellular_component;GO:0016020
1978573;3546;transporter activity;molecular_function;GO:0005215
1978573;4927;transport;biological_process;GO:0006810
1978573;9321;integral to membrane;cellular_component;GO:0016021
1978574;2290;catalytic activity;molecular_function;GO:0003824
1978578;2182;damaged DNA binding;molecular_function;GO:0003684
1978578;3838;nucleus;cellular_component;GO:0005634
1978578;4448;nucleotide-excision repair;biological_process;GO:0006289
1978578;162;nucleotide binding;molecular_function;GO:0000166
1978580;587;nucleosome;cellular_component;GO:0000786
1978580;2176;DNA binding;molecular_function;GO:0003677
1978580;3838;nucleus;cellular_component;GO:0005634
