Protein_ID;Gene_ID;sseqid;pident;length;qlen;slen;qstart;qend;sstart;send;evalue;bitscore;PHI_QueryCoverage;Organism;Phenotype;Classifitcation
1978806;g0244;F5HAA8#PHI:424#PCK1#5207#Cryptococcus_neoformans#reduced_virulence;62.749;553;592;551;49;590;1;550;0.0;720;91,55;Cryptococcus_neoformans;reduced_virulence;Pass
1979754;g1189;G4YQK3#PHI:6261#PsAAT3#67593#Phytophthora_sojae#reduced_virulence;49.756;410;422;427;14;419;25;426;2.00e-148;427;96,21;Phytophthora_sojae;reduced_virulence;Pass
1979805;g1239;A0A1D8PHV2#PHI:124224#Smf12#5476#Candida_albicans#reduced_virulence;45.203;542;697;584;158;693;62;578;4.13e-146;437;76,90;Candida_albicans;reduced_virulence;Pass
1980250;g1681;E9EYA3#PHI:9532#Mep2_(MAA_05002)#568076#Metarhizium_robertsii#unaffected_pathogenicity;71.554;457;478;482;9;454;5;460;0.0;667;93,31;Metarhizium_robertsii;unaffected_pathogenicity;Pass
1980823;g2252;I1RCV8#PHI:5786#Fgsg01440#5518#Fusarium_graminearum#unaffected_pathogenicity;58.993;278;292;294;1;277;1;276;9.71e-115;331;94,86;Fusarium_graminearum;unaffected_pathogenicity;Pass
1981077;g2505;Q4WGR1#PHI:2541#OLE1#746128#Aspergillus_fumigatus#lethal;77.283;449;471;456;22;470;10;456;0.0;738;95,33;Aspergillus_fumigatus;lethal;Pass
1981987;g3415;H1VJG6#PHI:11713#ChHxt5_(XP_018154077)#80884#Colletotrichum_higginsianum#unaffected_pathogenicity;50.198;504;565;534;20;521;14;511;1.17e-171;495;88,85;Colletotrichum_higginsianum;unaffected_pathogenicity;Pass
1982124;g3554;O42622#PHI:123_PHI:775_PHI:794_PHI:7227#PTH9_(NTH1)_MGG_09471_Nth1#318829#Magnaporthe_oryzae#reduced_virulence;79.282;724;755;736;24;747;14;735;0.0;1232;95,89;Magnaporthe_oryzae;reduced_virulence;Pass
1982125;g3555;P0CT06#PHI:305#ICL1#318829#Magnaporthe_oryzae#reduced_virulence;78.623;552;549;547;1;548;1;547;0.0;894;99,82;Magnaporthe_oryzae;reduced_virulence;Pass
1982635;g4055;I1RDG6#PHI:1555#GzMyb019#5518#Fusarium_graminearum#unaffected_pathogenicity;51.874;507;583;545;80;582;39;545;0.0;565;86,28;Fusarium_graminearum;unaffected_pathogenicity;Pass
1982648;g4068;Q5J4D6#PHI:365_PHI:2267#MLS1_Mls1#13684#Parastagonospora_nodorum#loss_of_pathogenicity;78.373;541;543;543;2;542;3;543;0.0;909;99,63;Parastagonospora_nodorum;loss_of_pathogenicity;Pass
1982676;g4095;Q96VL0#PHI:769#CPSOD1#5111#Claviceps_purpurea#unaffected_pathogenicity;87.013;154;155;154;1;154;1;154;7.60e-98;277;99,35;Claviceps_purpurea;unaffected_pathogenicity;Pass
1982710;g4130;A0A0E0RSG8#PHI:1572#GzOB012#5518#Fusarium_graminearum#unaffected_pathogenicity;47.607;815;959;965;147;956;199;965;0.0;747;84,46;Fusarium_graminearum;unaffected_pathogenicity;Pass
1983127;g4547;Q882F5#PHI:7788#AldB_(PSPTO_2673)#317#Pseudomonas_syringae#reduced_virulence;45.073;477;497;493;22;494;8;483;3.72e-138;406;95,17;Pseudomonas_syringae;reduced_virulence;Pass
1983151;g4571;P0A038#PHI:6904#GAPDH#1280#Staphylococcus_aureus#reduced_virulence;48.083;339;338;336;1;333;1;334;2.16e-105;310;98,52;Staphylococcus_aureus;reduced_virulence;Pass
1983667;g5088;G4N471#PHI:2098#Calcium-transporting_ATPase_3#318829#Magnaporthe_oryzae#loss_of_pathogenicity;56.491;1140;1166;1110;1;1130;1;1061;0.0;1222;96,91;Magnaporthe_oryzae;loss_of_pathogenicity;Pass
1983847;g5269;B0XTA5#PHI:2293#CycA#746128#Aspergillus_fumigatus#reduced_virulence;76.699;103;109;235;1;103;61;162;7.34e-57;174;94,50;Aspergillus_fumigatus;reduced_virulence;Pass
1984540;g5955;A7E6B5#PHI:123632#SsAOX_(SS1G_00840)#5180#Sclerotinia_sclerotiorum#reduced_virulence;82.175;662;667;666;1;659;1;657;0.0;1139;98,80;Sclerotinia_sclerotiorum;reduced_virulence;Pass
1984991;g6405;Q1KSE7#PHI:123716#PGK2#5811#Toxoplasma_gondii#unaffected_pathogenicity;41.247;417;422;551;16;418;148;545;1.20e-93;291;95,50;Toxoplasma_gondii;unaffected_pathogenicity;Pass
1985089;g6501;Q9X4G0#PHI:5042#HmgA#287#Pseudomonas_aeruginosa#increased_virulence_(hypervirulence)_reduced_virulence;50.461;434;455;432;13;445;9;427;1.11e-143;416;95,16;Pseudomonas_aeruginosa;increased_virulence_(hypervirulence)_reduced_virulence;Pass
1985334;g6743;J9VNZ8#PHI:3528#PHO89#5207#Cryptococcus_neoformans#reduced_virulence;44.992;629;628;591;2;627;4;591;1.76e-177;515;99,68;Cryptococcus_neoformans;reduced_virulence;Pass
1985350;g6760;Q5AJ90#PHI:3688#Fox3p#5476#Candida_albicans#unaffected_pathogenicity;46.305;406;416;410;25;414;10;410;7.37e-109;325;93,75;Candida_albicans;unaffected_pathogenicity;Pass
1985452;g6864;X0I5S4#PHI:6530#Gas1#5507#Fusarium_oxysporum#reduced_virulence;55.804;491;479;487;1;476;1;487;0.0;554;99,37;Fusarium_oxysporum;reduced_virulence;Pass
1985558;g6971;F0XP73#PHI:2693#GcABC-G1#226899#Leptographium_clavigerum#reduced_virulence;73.541;1542;1536;1539;1;1534;1;1534;0.0;2326;99,87;Leptographium_clavigerum;reduced_virulence;Pass
1986447;g7862;Q8MPM3#PHI:8028#Tkt#5665#Leishmania_mexicana#loss_of_pathogenicity;51.324;680;686;671;8;684;5;671;0.0;695;98,69;Leishmania_mexicana;loss_of_pathogenicity;Pass
1986536;g7953;E3QNW8#PHI:6228#KRE6#31870#Colletotrichum_graminicola#reduced_virulence;48.259;402;518;477;109;507;76;472;3.97e-142;416;77,03;Colletotrichum_graminicola;reduced_virulence;Pass
1986568;g7981;Q5IFQ6#PHI:410#SOD2#5207#Cryptococcus_neoformans#loss_of_pathogenicity;46.117;206;235;234;14;217;18;221;6.84e-62;192;86,81;Cryptococcus_neoformans;loss_of_pathogenicity;Pass
1987056;g8469;A7ET79#PHI:11806#SsTrx1#5180#Sclerotinia_sclerotiorum#reduced_virulence;49.138;116;145;146;29;144;32;145;4.16e-36;120;80,00;Sclerotinia_sclerotiorum;reduced_virulence;Pass
1987149;g8561;Q88BC5#PHI:7787#AldA_(PSPTO_0092)#317#Pseudomonas_syringae#reduced_virulence;41.031;485;488;497;5;482;18;497;4.13e-111;336;97,95;Pseudomonas_syringae;reduced_virulence;Pass
1987153;g8565;Q8NJQ2#PHI:2839#RED1#5016#Bipolaris_maydis#reduced_virulence;49.292;353;351;352;1;350;1;348;8.45e-116;338;99,72;Bipolaris_maydis;reduced_virulence;Pass
1980430;g1857;I1RL30#PHI:1094#FGSG_04610#5518#Fusarium_graminearum#unaffected_pathogenicity;67.837;541;539;540;1;538;1;540;0.0;755;99,81447124;Fusarium_graminearum;unaffected_pathogenicity;Pass
1980794;g2222;I1RCU4#PHI:123069#FgPMA1_(FGSG_01425)#5518#Fusarium_graminearum#reduced_virulence;85.976;927;926;922;1;925;1;922;0.0;1560;99,89200864;Fusarium_graminearum;reduced_virulence;Pass
1982875;g4296;I1RDW3#PHI:9245#Fghyd5_(FGSG_01831)#5518#Fusarium_graminearum#reduced_virulence_unaffected_pathogenicity;46.000;100;101;98;1;100;1;96;1.36e-22;82.8;99,00990099;Fusarium_graminearum;reduced_virulence_unaffected_pathogenicity;Pass
1983320;g4738;J4VZT4#PHI:9444#Bbakr1_(XP_008600433.1)#176275#Beauveria_bassiana#unaffected_pathogenicity;42.403;283;310;309;9;282;39;298;5.54e-63;200;88,38709677;Beauveria_bassiana;unaffected_pathogenicity;Pass
1984413;g5831;I1S1V9#PHI:1604#GzOB045#5518#Fusarium_graminearum#unaffected_pathogenicity;94.483;145;146;145;1;145;1;145;7.00e-98;276;99,31506849;Fusarium_graminearum;unaffected_pathogenicity;Pass
1984860;g6279;R0K2C5#PHI:123376#SRE1_(SETTUDRAFT_163271)#93612#Exserohilum_turcicum#effector_(plant_avirulence_determinant);53.704;108;137;135;26;133;25;131;6.95e-40;129;78,83211679;Exserohilum_turcicum;effector_(plant_avirulence_determinant);Pass
1984927;g6346;I1RHQ4#PHI:5898#FGSG_03315#5518#Fusarium_graminearum#unaffected_pathogenicity;67.609;389;411;411;25;409;22;410;0.0;530;93,67396594;Fusarium_graminearum;unaffected_pathogenicity;Pass
1985089;g6501;Q9X4G0#PHI:5042#HmgA#287#Pseudomonas_aeruginosa#increased_virulence_(hypervirulence)_reduced_virulence;50.461;434;455;432;13;445;9;427;1.11e-143;416;95,16483516;Pseudomonas_aeruginosa;increased_virulence_(hypervirulence)_reduced_virulence;Pass
1985667;g7082;A0A1B7Y872#PHI:11711#ChHxt3_(XP_018156754)#80884#Colletotrichum_higginsianum#unaffected_pathogenicity;75.092;546;556;558;4;549;1;541;0.0;843;98,20143885;Colletotrichum_higginsianum;unaffected_pathogenicity;Pass
1985780;g7197;J4UIJ0#PHI:9546#BbepnL-1_(BBA_07766)#176275#Beauveria_bassiana#reduced_virulence;40.123;324;411;376;92;407;68;374;8.68e-67;215;76,88564477;Beauveria_bassiana;reduced_virulence;Pass
1985907;g7323;H6ULV1#PHI:5450#Gdh2#474922#Colletotrichum_gloeosporioides#reduced_virulence_unaffected_pathogenicity;78.578;1041;1087;1044;43;1076;7;1044;0.0;1729;95,12419503;Colletotrichum_gloeosporioides;reduced_virulence_unaffected_pathogenicity;Pass
1986023;g7438;J9VXU6#PHI:9425#Itr4_(CNAG_05662)#5207#Cryptococcus_neoformans#reduced_virulence;47.759;580;637;631;45;622;51;610;1.07e-180;525;90,73783359;Cryptococcus_neoformans;reduced_virulence;Pass
1986802;g8222;Q4X1I5#PHI:123303#Nmo5#746128#Aspergillus_fumigatus#reduced_virulence;69.841;378;379;355;1;378;1;355;1.57e-179;501;99,73614776;Aspergillus_fumigatus;reduced_virulence;Pass
