Gene_ID	Chromosome	Start	End
gene_246	OphioH327chr_1	975288	977481
gene_412	OphioH327chr_1	1608311	1610665
gene_826	OphioH327chr_1	3179383	3179943
gene_900	OphioH327chr_1	3442674	3444116
gene_1055	OphioH327chr_1	4050015	4050942
gene_1120	OphioH327chr_1	4325434	4325775
gene_1194	OphioH327chr_1	4535024	4537199
gene_1234	OphioH327chr_1	4688890	4689807
gene_1245	OphioH327chr_1	4729325	4731471
gene_1260	OphioH327chr_1	4790852	4792807
gene_1295	OphioH327chr_1	4927283	4928405
gene_1318	OphioH327chr_1	4992426	4993852
gene_1322	OphioH327chr_1	5002698	5003501
gene_1417	OphioH327chr_1	5367453	5368591
gene_1485	OphioH327chr_1	5617891	5619096
gene_1546	OphioH327chr_1	5845869	5847036
gene_1566	OphioH327chr_1	5901863	5903023
gene_1690	OphioH327chr_1	6353105	6354597
gene_1737	OphioH327chr_1	6519282	6520269
gene_1818	OphioH327chr_1	6787413	6788395
gene_2207	OphioH327chr_2	1378942	1381625
gene_2263	OphioH327chr_2	1619069	1619944
gene_2419	OphioH327chr_2	2224844	2227345
gene_2517	OphioH327chr_2	2592343	2593818
gene_2554	OphioH327chr_2	2747533	2749011
gene_2629	OphioH327chr_2	3066809	3068529
gene_2732	OphioH327chr_2	3413174	3414159
gene_2774	OphioH327chr_2	3554898	3555660
gene_2831	OphioH327chr_2	3754107	3754502
gene_2941	OphioH327chr_2	4175674	4177707
gene_2948	OphioH327chr_2	4197450	4198427
gene_3383	OphioH327chr_2	5745340	5746297
gene_3427	OphioH327chr_2	5920832	5922526
gene_3428	OphioH327chr_2	5922799	5924138
gene_3438	OphioH327chr_2	6007432	6008846
gene_3440	OphioH327chr_2	6010394	6012639
gene_3442	OphioH327chr_2	6014264	6015816
gene_3443	OphioH327chr_2	6016575	6018472
gene_3446	OphioH327chr_2	6023555	6024470
gene_3448	OphioH327chr_2	6026820	6027244
gene_3450	OphioH327chr_2	6029976	6031836
gene_3468	OphioH327chr_2	6087564	6089442
gene_3515	OphioH327chr_2	6246158	6246657
gene_3538	OphioH327chr_2	6312230	6313602
gene_3564	OphioH327chr_2	6398453	6400717
gene_3565	OphioH327chr_2	6403427	6405073
gene_3658	OphioH327chr_2	6692893	6694617
gene_3809	OphioH327chr_3	432296	433009
gene_3947	OphioH327chr_3	900708	900980
