"protein_ID";"gene_ID";"gene_ID_gff3";"protein_ID_gff3";"Protein";"Chr";"Strand";"Start";"End";"Size (nt)";"Final Description"
"1";1978561;"g0002.1";"gene_1";1978561;"g0002.1";"I";"-";"43.034";"44.999";"1.966";"C6 zinc finger fungal transcription factor"
"2";1978562;"g0003";"gene_2";1978562;"g0003";"I";"+";"45.408";"46.946";"1.539";"Glutamyl-tRNA(Gln) amidotransferase subunit A"
"3";1978563;"g0003.1";"gene_3";1978563;"g0003.1";"I";"-";"47.942";"50.354";"2.413";"C6 zinc finger fungal transcription factor"
"4";1978564;"g0004";"gene_4";1978564;"g0004";"I";"-";"50.768";"52.511";"1.744";"Uncharacterized transporter C1039.04"
"5";1978565;"g0005";"gene_5";1978565;"g0005";"I";"+";"53.258";"54.753";"1.496";"L-saccharopine oxidase"
"6";1978566;"g0006";"gene_6";1978566;"g0006";"I";"+";"56.977";"58.501";"1.525";"N amino acid transport system protein (Methyltryptophan resistance protein)"
"7";1978567;"g0006.1";"gene_7";1978567;"g0006.1";"I";"-";"58.703";"60.412";"1.710";"Hexokinase"
"8";1978568;"g0006.2";"gene_8";1978568;"g0006.2";"I";"+";"61.487";"63.500";"2.014";"C6 zinc finger fungal transcription factor"
"9";1978569;"g0007";"gene_9";1978569;"g0007";"I";"-";"63.574";"64.697";"1.124";"Glucosamine-6-phosphate deaminase/isomerase"
"10";1978570;"g0008";"gene_10";1978570;"g0008";"I";"-";"65.474";"67.209";"1.736";"Choline transporter"
"11";1978571;"g0009";"gene_11";1978571;"g0009";"I";"+";"68.430";"70.198";"1.769";"Putative uncharacterized protein"
"12";1978572;"g0010";"gene_12";1978572;"g0010";"I";"-";"70.917";"72.295";"1.379";"Putative uncharacterized protein"
"13";1978573;"g0011";"gene_13";1978573;"g0011";"I";"+";"72.921";"74.625";"1.705";"Hexose transporter"
"14";1978574;"g0012";"gene_14";1978574;"g0012";"I";"+";"76.905";"79.722";"2.818";"Putative uncharacterized protein"
"15";1978575;"g0013";"gene_15";1978575;"g0013";"I";"-";"80.724";"81.497";"774";"Putative uncharacterized protein"
"16";1978576;"g0014";"gene_16";1978576;"g0014";"I";"+";"82.522";"82.930";"409";"Uncharacterized oxidoreductase"
"17";1978577;"g0015";"gene_17";1978577;"g0015";"I";"+";"83.705";"84.516";"812";"Inorganic phosphate transport protein PHO88"
"18";1978578;"g0016";"gene_18";1978578;"g0016";"I";"+";"85.043";"86.426";"1.384";"DNA repair protein RAD14"
"19";1978579;"g0017";"gene_19";1978579;"g0017";"I";"+";"87.351";"89.985";"2.635";"Striatin Pro11"
"20";1978580;"g0018";"gene_20";1978580;"g0018";"I";"+";"91.579";"92.627";"1.049";"Histone H2A"
"21";1978581;"g0019";"gene_21";1978581;"g0019";"I";"-";"93.662";"94.540";"879";"Alpha/beta-hydrolase"
"22";1978582;"g0020";"gene_22";1978582;"g0020";"I";"+";"97.450";"99.588";"2.139";"RNA-binding post-transcriptional regulator cip2 (Csx1-interacting protein 2)"
"23";1978583;"g0021";"gene_23";1978583;"g0021";"I";"-";"101.431";"105.315";"3.885";"RNA-dependent RNA polymerase"
"24";1978584;"g0022";"gene_24";1978584;"g0022";"I";"+";"106.472";"108.103";"1.632";"Alpha/beta-hydrolase"
"25";1978585;"g0023";"gene_25";1978585;"g0023";"I";"-";"108.603";"109.118";"516";"Putative uncharacterized protein"
"26";1978586;"g0024";"gene_26";1978586;"g0024";"I";"-";"110.000";"111.169";"1.170";"26S protease regulatory subunit 8 homolog (Protein CIM3/SUG1/TBY1)"
"27";1978587;"g0025";"gene_27";1978587;"g0025";"I";"-";"111.812";"115.045";"3.234";"HMG-I/HMG-Y, DNA-binding protein"
