"Reference";"BroadFunction";"Protein";"Chr";"Strand";"G.Start";"G.End";"G.Size..nt.";"Inter.genic";"Start..cum.";"End..cum.";"N..Introns";"Size..nt..sum";"Size_prot.aa.";"Final.Description";"Closest.Organism..excl..Ophios.Sporothrix.";"Closest.Organism..excl..O.novo.ulmi.only.";"KEGG_KO.";"KEGG_Name";"Blast2GO_Annotation";"X.GO.Terms";"GO.Terms";"Enzyme.Code";"CAZy";"MEROPS_family";"SignalP";"Alterna_Splice";"SMURF";"Notes";"gene_ID"
"1";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0012";"I";"+";"76.905";"79.722";2.818;2.279;"76.905";"79.722";2;367;816;"Putative uncharacterized protein";"Nectria haematococca";"Ophiostoma piceae";"";"";"bacterial alpha-l-rhamnosidase domain protein";5;"P:metabolic process; F:catalytic activity; F:ATP binding; C:integral to membrane; P:transmembrane transport";"";"GH78 ";"";"N";"";"";"";"g0012"
"2";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0171";"I";"+";"708.709";"710.126";1.418;1.821;"708.709";"710.126";2;110;435;"Endochitinase";"Togninia minima";"Ophiostoma piceae";"K01183";"E3.2.1.14; chitinase [EC:3.2.1.14]";"chitinase 1 precursor";4;"P:carbohydrate metabolic process; F:chitinase activity; F:cation binding; P:chitin catabolic process";"EC:3.2.1.14";"GH18 ";"";"Y";"";"";"";"g0171"
"3";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0184";"I";"-";"756.892";"758.379";1.488;1.608;"756.892";"758.379";0;0;495;"Galactosyl transferase gma12 mnn10 family protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"galactosyl transferase gma12 mnn10 family protein";1;"F:transferase activity";"-";"GT34 ";"";"N";"";"";"";"g0184"
"4";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0208";"I";"-";"861.604";"863.112";1.509;698;"861.604";"863.112";2;144;454;"Chitin deacetylase 1";"Neurospora tetrasperma";"Sporothrix schenckii";"K01452";"E3.5.1.41; chitin deacetylase [EC:3.5.1.41]";"chitin binding protein";1;"F:catalytic activity";"-";"CBM18-CE4 ";"";"Y";"";"";"";"g0208"
"5";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0277";"I";"+";"1.101.632";"1.103.743";2.112;1.185;"1.101.632";"1.103.743";0;0;703;"Glycoside hydrolase 15-related";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycoside hydrolase family 15 protein";2;"P:polysaccharide metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds";"EC:3.2.1.0";"GH15 ";"";"N";"";"";"";"g0277"
"6";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0286";"I";"+";"1.137.167";"1.138.312";1.146;5.847;"1.137.167";"1.138.312";3;291;284;"Glycoside hydrolase";"Eutypa lata";"Ophiostoma piceae";"";"";"glycoside hydrolase";1;"F:hydrolase activity";"-";"GH5 ";"";"Y";"";"";"";"g0286"
"7";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0335";"I";"-";"1.302.617";"1.307.158";4.542;1.375;"1.302.617";"1.307.158";2;2.583;652;"Cell wall glycosyl hydrolase";"Grosmannia clavigera";"Ophiostoma piceae";"K08257";"E3.2.1.101; mannan endo-1,6-alpha-mannosidase [EC:3.2.1.101]";"mannan endo- -alpha-mannosidase dcw1";2;"F:mannan endo-1,6-alpha-mannosidase activity; P:carbohydrate catabolic process";"EC:3.2.1.101";"GH76 ";"";"N";"";"";"";"g0335"
"8";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0371";"I";"-";"1.430.099";"1.431.292";1.194;483;"1.430.099";"1.431.292";1;66;375;"Beta-glucanase";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycoside hydrolase family 16 protein";2;"P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds";"EC:3.2.1.0";"GH16 ";"";"N";"";"";"";"g0371"
"9";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0393";"I";"+";"1.518.761";"1.521.414";2.654;5.317;"1.518.761";"1.521.414";1;77;858;"GPI anchored peptidase m48";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycoside hydrolase family 16 protein";9;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:proteolysis; P:carbohydrate metabolic process; C:membrane; F:metalloendopeptidase activity; F:hydrolase activity; F:molecular_function; P:biological_process; C:cellular_component";"";"GH16 ";"";"Y";"";"";"";"g0393"
"10";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp0444";"I";"+";"1.725.651";"1.726.340";690;380;"1.725.651";"1.726.340";0;0;229;"Glycosyltransferase family";"Grosmannia clavigera";"Ophiostoma piceae";"K07432";"ALG13; beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]";"glycosyltransferase family 1 protein";5;"P:lipid glycosylation; F:carbohydrate binding; F:transferase activity; P:carbohydrate metabolic process; F:transferase activity, transferring hexosyl groups";"";"GT1 ";"";"N";"";"";"";"g0444"
